Order ID,Actual Delivery Date,Delay Reason,Driver ID,Driver Name,Hub Name,Is Delayed,Is On Time,Order Date,Order Status,Vehicle Name,Vehicle Type,Customer Satisfaction Score,Delivery Time Hours,Hub Processing Time Hours
119,09-12-2024,,20,David Davis,Fort Worth Hub,FALSE,TRUE,09-12-2024,Delivered,FT-030,Van,4,8.54,3.52
120,12-04-2023,,39,Jennifer White,Fort Worth Hub,FALSE,TRUE,12-04-2023,Delivered,FT-039,Van,4,5.6,3.41
121,11-03-2024,Vehicle Breakdown,49,Joseph Williams,Dallas Main Hub,TRUE,FALSE,10-03-2024,Delivered,FT-015,Van,2,41.25,1.17
122,21-05-2024,,19,Robert Garcia,Dallas Main Hub,FALSE,TRUE,20-05-2024,Delivered,FT-010,Van,5,32.73,0.63
123,02-10-2024,,7,Karen Hernandez,Dallas Main Hub,FALSE,TRUE,02-10-2024,Delivered,FT-012,Van,4,15.41,3.31
124,10-02-2024,,10,Daniel Williams,Houston Hub,FALSE,TRUE,09-02-2024,Delivered,FT-022,Van,4,32.43,0.89
125,14-06-2023,,1,Kevin Jones,Dallas Main Hub,FALSE,TRUE,13-06-2023,Delivered,FT-044,Truck,5,29.01,3.73
126,31-12-2023,,40,Charles Moore,Dallas Main Hub,FALSE,TRUE,31-12-2023,Delivered,FT-044,Truck,4,20.49,1.17
127,05-01-2023,,7,Karen Hernandez,Dallas Main Hub,FALSE,TRUE,05-01-2023,Delivered,FT-013,Van,4,6.33,2.85
128,23-08-2023,,8,Charles Lopez,Houston Hub,FALSE,TRUE,21-08-2023,Delivered,FT-003,Van,5,50.85,1.11
129,22-02-2023,,31,Anthony Jackson,Austin Hub,FALSE,TRUE,22-02-2023,Delivered,FT-034,Van,5,21.7,1.7
130,04-06-2023,,39,Jennifer White,Fort Worth Hub,FALSE,TRUE,02-06-2023,Delivered,FT-039,Van,5,57.39,2.29
131,22-09-2023,,11,Linda Taylor,San Antonio Hub,FALSE,TRUE,22-09-2023,Delivered,FT-036,Truck,5,12.43,2.8
132,06-07-2024,,14,Sarah Davis,Houston Hub,FALSE,TRUE,04-07-2024,Delivered,FT-016,Van,4,50.92,2.89
133,13-02-2023,,31,Anthony Jackson,Austin Hub,FALSE,TRUE,12-02-2023,Delivered,FT-025,Van,4,40.06,0.72
134,05-12-2023,,33,Charles Davis,Dallas Main Hub,FALSE,TRUE,04-12-2023,Delivered,FT-010,Van,5,24.99,2.9
135,15-12-2024,,28,Jennifer Rodriguez,Houston Hub,FALSE,TRUE,15-12-2024,Delivered,FT-019,Van,4,16.49,0.65
136,04-05-2023,Customer Not Home,34,Matthew Smith,Austin Hub,TRUE,FALSE,04-05-2023,Delivered,FT-023,Van,3,4.3,3.7
137,01-10-2024,,11,Linda Taylor,San Antonio Hub,FALSE,TRUE,30-09-2024,Delivered,FT-027,Truck,4,31.02,2.58
138,01-08-2024,Road Construction,48,Sarah Moore,Houston Hub,TRUE,FALSE,28-07-2024,Delivered,FT-017,Truck,3,98.04,1.72
139,15-12-2024,,25,Nancy Harris,Austin Hub,FALSE,TRUE,15-12-2024,Delivered,FT-025,Van,4,16.01,2.92
140,15-05-2024,,32,Daniel Thomas,Houston Hub,FALSE,TRUE,14-05-2024,Delivered,FT-022,Van,5,34.93,0.54
141,16-02-2024,,38,Elizabeth Harris,El Paso Hub,FALSE,TRUE,15-02-2024,Delivered,FT-041,Truck,4,24.45,3.04
142,22-02-2024,,20,David Davis,Fort Worth Hub,FALSE,TRUE,22-02-2024,Delivered,FT-030,Van,5,16.8,2.21
143,26-05-2024,,11,Linda Taylor,San Antonio Hub,FALSE,TRUE,26-05-2024,Delivered,FT-005,Van,5,8,2.04
144,19-12-2023,,21,Patricia Martinez,Austin Hub,FALSE,TRUE,19-12-2023,Delivered,FT-040,Van,5,18.49,1.55
145,22-03-2024,,43,Karen Rodriguez,San Antonio Hub,FALSE,TRUE,22-03-2024,Delivered,FT-005,Van,5,4.83,1.27
146,22-10-2023,,42,Charles Hernandez,Dallas Main Hub,FALSE,TRUE,21-10-2023,Delivered,FT-013,Van,5,39.93,2.07
147,12-01-2023,,9,Patricia Jones,Houston Hub,FALSE,TRUE,11-01-2023,Delivered,FT-019,Van,4,29.37,2.46
148,06-08-2024,,26,Kevin Thompson,Dallas Main Hub,FALSE,TRUE,04-08-2024,Delivered,FT-010,Van,4,66.73,2.77
149,12-04-2023,,3,Linda Williams,Dallas Main Hub,FALSE,TRUE,12-04-2023,Delivered,FT-044,Truck,5,8.41,2.97
150,27-02-2023,,41,Jessica Johnson,El Paso Hub,FALSE,TRUE,26-02-2023,Delivered,FT-006,Van,4,40.38,1.06
151,26-03-2023,,2,Jennifer Lopez,Houston Hub,FALSE,TRUE,26-03-2023,Delivered,FT-017,Truck,5,10.2,2.28
152,03-09-2024,,4,Charles Thompson,Fort Worth Hub,FALSE,TRUE,01-09-2024,Delivered,FT-030,Van,4,50.45,2.38
153,17-04-2024,Customer Not Home,52,Daniel Garcia,Austin Hub,TRUE,FALSE,16-04-2024,Delivered,FT-025,Van,3,36.3,2.56
154,07-04-2023,,50,Nancy Thomas,Dallas Main Hub,FALSE,TRUE,07-04-2023,Delivered,FT-015,Van,4,6.47,2.13
155,30-05-2024,,42,Charles Hernandez,Dallas Main Hub,FALSE,TRUE,30-05-2024,Delivered,FT-015,Van,5,4.17,2.3
156,13-06-2024,,33,Charles Davis,Dallas Main Hub,FALSE,TRUE,13-06-2024,Delivered,FT-018,Truck,4,17.37,2.57
157,21-08-2024,,5,Lisa Taylor,San Antonio Hub,FALSE,TRUE,21-08-2024,Delivered,FT-005,Van,4,23.17,0.67
158,04-02-2024,,46,Kevin White,Austin Hub,FALSE,TRUE,04-02-2024,Delivered,FT-023,Van,4,7.56,2.24
159,06-04-2023,,35,Daniel Rodriguez,Houston Hub,FALSE,TRUE,05-04-2023,Delivered,FT-028,Pickup,4,24.72,2.83
160,26-08-2023,,51,Kevin Brown,Dallas Main Hub,FALSE,TRUE,24-08-2023,Delivered,FT-015,Van,5,51.84,3.22
161,16-06-2024,,11,Linda Taylor,San Antonio Hub,FALSE,TRUE,15-06-2024,Delivered,FT-036,Truck,4,38.36,2.81
162,16-11-2023,,34,Matthew Smith,Austin Hub,FALSE,TRUE,15-11-2023,Delivered,FT-040,Van,4,30.27,3.26
163,19-11-2023,Vehicle Breakdown,12,Charles Thompson,El Paso Hub,TRUE,FALSE,17-11-2023,Delivered,FT-045,Box Truck,3,51.3,1.23
164,20-05-2023,,27,Lisa Moore,Dallas Main Hub,FALSE,TRUE,18-05-2023,Delivered,FT-008,Van,5,66.85,1.09
165,17-09-2024,,11,Linda Taylor,San Antonio Hub,FALSE,TRUE,16-09-2024,Delivered,FT-005,Van,5,24.55,1.43
166,13-06-2024,,7,Karen Hernandez,Dallas Main Hub,FALSE,TRUE,11-06-2024,Delivered,FT-026,Box Truck,5,66.15,2.23
167,30-06-2024,,24,Elizabeth Jones,Dallas Main Hub,FALSE,TRUE,28-06-2024,Delivered,FT-015,Van,5,61.46,2.82
168,03-07-2024,,11,Linda Taylor,San Antonio Hub,FALSE,TRUE,03-07-2024,Delivered,FT-005,Van,5,23.37,1.58
169,01-03-2023,,38,Elizabeth Harris,El Paso Hub,FALSE,TRUE,01-03-2023,Delivered,FT-004,Van,4,19.14,2.99
170,13-03-2024,Incorrect Address,13,Daniel Brown,Austin Hub,TRUE,FALSE,10-03-2024,Delivered,FT-025,Van,3,77.18,1.15
171,09-05-2024,,42,Charles Hernandez,Dallas Main Hub,FALSE,TRUE,09-05-2024,Delivered,FT-018,Truck,4,22.29,3.06
172,17-06-2023,,5,Lisa Taylor,San Antonio Hub,FALSE,TRUE,15-06-2023,Delivered,FT-027,Truck,4,62.24,1.24
173,03-08-2023,,46,Kevin White,Austin Hub,FALSE,TRUE,02-08-2023,Delivered,FT-025,Van,4,26.08,1.53
174,25-09-2023,,4,Charles Thompson,Fort Worth Hub,FALSE,TRUE,25-09-2023,Delivered,FT-030,Van,4,3.74,2.99
175,07-10-2024,Driver Unavailable,31,Anthony Jackson,Austin Hub,TRUE,FALSE,06-10-2024,Delivered,FT-025,Van,2,32.12,1.83
176,09-02-2023,,17,Donald Martin,Fort Worth Hub,FALSE,TRUE,09-02-2023,Delivered,FT-002,Truck,5,19.94,1.07
177,17-02-2024,,15,Patricia Hernandez,El Paso Hub,FALSE,TRUE,16-02-2024,Delivered,FT-006,Van,5,43.83,1.72
178,12-07-2024,,18,John Smith,Dallas Main Hub,FALSE,TRUE,10-07-2024,Delivered,FT-010,Van,5,62.62,2.3
179,25-11-2023,,41,Jessica Johnson,El Paso Hub,FALSE,TRUE,23-11-2023,Delivered,FT-004,Van,4,48.21,1.09
180,12-06-2023,,44,Christopher Davis,Dallas Main Hub,FALSE,TRUE,12-06-2023,Delivered,FT-026,Box Truck,5,2.97,3.35
181,01-05-2023,,13,Daniel Brown,Austin Hub,FALSE,TRUE,30-04-2023,Delivered,FT-007,Van,4,47.69,0.69
182,07-03-2024,,1,Kevin Jones,Dallas Main Hub,FALSE,TRUE,06-03-2024,Delivered,FT-044,Truck,5,47.22,1.23
183,19-11-2023,,24,Elizabeth Jones,Dallas Main Hub,FALSE,TRUE,17-11-2023,Delivered,FT-013,Van,5,58.19,2.59
184,20-10-2024,,20,David Davis,Fort Worth Hub,FALSE,TRUE,18-10-2024,Delivered,FT-030,Van,5,50.87,2.01
185,07-08-2024,Severe Weather,20,David Davis,Fort Worth Hub,TRUE,FALSE,06-08-2024,Delivered,FT-033,Van,2,45,1.94
186,19-02-2023,Customer Not Home,2,Jennifer Lopez,Houston Hub,TRUE,FALSE,19-02-2023,Delivered,FT-001,Van,4,19.93,1.17
187,04-09-2024,,19,Robert Garcia,Dallas Main Hub,FALSE,TRUE,04-09-2024,Delivered,FT-021,Pickup,4,18.68,0.68
188,13-11-2024,,43,Karen Rodriguez,San Antonio Hub,FALSE,TRUE,13-11-2024,Delivered,FT-036,Truck,4,15.5,1.67
189,02-04-2023,,6,Nancy Thompson,Houston Hub,FALSE,TRUE,02-04-2023,Delivered,FT-031,Pickup,5,16.22,3.81
190,16-02-2023,,30,Robert Clark,Houston Hub,FALSE,TRUE,16-02-2023,Delivered,FT-017,Truck,4,3.43,1.01
191,29-05-2023,Package Sorting Error,23,James Anderson,Austin Hub,TRUE,FALSE,27-05-2023,Delivered,FT-025,Van,4,54.7,2.67
192,26-07-2024,,37,Jessica Jones,Houston Hub,FALSE,TRUE,26-07-2024,Delivered,FT-032,Van,5,3.46,0.91
193,23-05-2024,,17,Donald Martin,Fort Worth Hub,FALSE,TRUE,21-05-2024,Delivered,FT-009,Van,4,52.63,1.41
194,28-01-2024,,13,Daniel Brown,Austin Hub,FALSE,TRUE,26-01-2024,Delivered,FT-040,Van,5,49.33,1.52
195,06-01-2023,,39,Jennifer White,Fort Worth Hub,FALSE,TRUE,05-01-2023,Delivered,FT-033,Van,5,24.48,1.01
